Objects
30
,,Global Angle tSphere:tSphere,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
227,0,-0.015392,0.438466,-0.166858,476.75,308.56,76.4561
228,0,-0.0299813,0.644987,-0.174421,494.485,308.899,75.9163
229,0,-0.0402759,0.816607,-0.174296,510.553,308.156,75.6544
230,0,-0.0383306,0.983883,-0.172281,526.463,306.917,75.4252
231,0,-0.0342495,1.11613,-0.161934,541.446,304.942,75.3359
232,0,-0.0857662,-1.83899,0.0287865,558.165,301.928,76.2479
233,0,-0.0572894,-1.68349,0.00109406,573.518,298.295,76.7022
234,0,-0.0223185,-1.51265,-0.0229501,588.543,294.37,77.5192
235,0,0.00618336,-1.33088,-0.0487172,604.767,290.14,79.1813
236,0,0.0373597,-1.1989,-0.0663641,619.587,286.193,80.3944
237,0,0.0602154,-1.07415,-0.084377,634.027,282.812,81.1594
238,0,0.0795533,-0.889446,-0.0971729,650.581,279.561,82.0965
239,0,0.0900862,-0.773975,-0.109535,665.381,277.172,82.5443
240,0,0.0940745,-0.591029,-0.117601,682.283,275.134,82.8329
241,0,0.096615,-0.423662,-0.12573,697.87,274.098,83.2568
242,0,0.0843006,-0.319734,-0.134126,712.902,273.653,82.6852
243,0,0.0462054,-0.255605,-0.149248,730.976,273.553,80.0075
244,0,-0.168829,-3.11533,-0.0192703,746.828,274.544,81.4875
245,0,-0.158389,-2.96289,0.0118481,761.167,276.155,80.2483
246,0,-0.156557,-2.81381,0.0372674,776.814,277.222,79.5026
247,0,-0.149074,-2.66858,0.0575112,792.151,277.426,79.1919
248,0,-0.14483,-2.51796,0.0583892,807.274,277.104,78.6831
249,0,-0.134533,-2.42514,0.0610467,821.649,276.068,78.4179
250,0,-0.118451,-2.21413,0.0477675,837.721,274.095,78.6689
251,0,-0.100043,-2.06534,0.0266448,852.715,271.628,78.8108
252,0,-0.0760569,-1.92917,0.00123928,868.169,268.473,79.4704
253,0,-0.0469778,-1.77481,-0.0256436,883.555,264.306,79.9881
254,0,-0.0111481,-1.60706,-0.0549982,898.87,259.738,80.3149
255,0,0.0243405,-1.44291,-0.0883386,914.933,254.657,81.297
256,0,0.0546073,-1.2859,-0.114132,931.187,249.94,82.291
257,0,0.0782892,-1.12785,-0.135126,947.615,245.905,83.0743
258,0,0.0965674,-0.966645,-0.150856,964.349,242.374,83.4403
259,0,0.10828,-0.803699,-0.164541,981.395,239.457,83.5315
260,0,0.0980444,-0.702795,-0.179469,999.487,236.429,82.3248
261,0,0.0846078,-0.597735,-0.193862,1017.18,234.741,80.7935
262,0,0.106914,-0.313474,-0.193408,1033.09,233.496,82.4939
263,0,0.0849343,-0.203155,-0.208983,1050.72,232.4,79.7922
264,0,0.0598697,-0.0732064,-0.219685,1067.94,232.129,77.3805
265,0,0.0562272,0.187411,-0.226704,1085.19,232.218,78.2628
266,0,0.010093,0.278829,-0.238648,1102.2,232.728,74.5648
267
268,0,-0.268563,-2.42815,0.0441882,1137.71,233.589,72.978
269,0,-0.250504,-2.33011,0.0667457,1152.48,232.719,72.0103
270,0,-0.243644,-2.27363,0.074997,1169.68,231.309,72.2455
271,0,-0.220353,-1.92028,0.0468468,1184.95,228.985,71.3721
272,0,-0.196265,-1.75682,0.0326585,1200.7,226.178,71.1942
273,0,-0.166311,-1.59497,0.0149881,1216.32,222.668,71.5055
274,0,-0.130352,-1.43512,-0.00607047,1231.78,218.52,72.2557
275
276
277,0,0.00998373,-0.944588,-0.0809878,1277.88,202.204,76.647
278,0,0.048398,-0.856315,-0.101587,1293.49,195.503,77.6285
279,0,0.0770021,-0.771566,-0.123134,1309.36,190.225,77.9398
280,0,0.137471,-0.497845,-0.129077,1322.98,185.57,81.9408
281,0,0.15298,-0.398883,-0.143661,1338.71,181.202,81.8867
282,0,0.161194,-0.303938,-0.160514,1354.67,177.955,81.4855
283,0,0.194634,-0.0585946,-0.161854,1369.64,174.999,84.1905
284,0,0.199804,0.0870876,-0.173377,1385.32,172.954,84.3623
285,0,0.198887,0.231739,-0.187022,1401.01,171.619,84.175
286,0,-0.205915,-2.75011,-0.22161,1416.8,170.924,83.3069
287,0,-0.221894,-2.62131,-0.190758,1432.59,171.049,81.5843
288,0,-0.238907,-2.52424,-0.144727,1447.85,172.197,78.9754
289,0,-0.762792,-5.05734,1.62925,1466.51,173.25,78.8334
290,0,-0.471228,-5.01489,1.52705,1481.26,174.41,77.2201
291,0,-0.214607,-4.97048,1.48089,1495.63,175.149,74.7002
292,0,-0.286394,-1.8455,-0.0562435,1512.58,174.669,74.3097
293,0,-0.281876,-1.7951,-0.016363,1525.55,174.376,72.3187
294
295,0,-0.261052,-1.38327,-0.0414018,1559.07,169.739,72.0187
296,0,-0.238026,-1.22453,-0.0501939,1573.71,166.643,71.029
297,0,-0.214581,-1.10553,-0.0480572,1590.01,163.1,70.8213
298,0,-0.194315,-0.987253,-0.0394503,1605.88,158.245,70.4761
299,0,-0.177041,-0.924377,-0.0406558,1622.91,153.532,69.3651
300,0,-0.142398,-0.834167,-0.0510469,1639.57,148.536,69.6204
301,0,-0.0447828,-3.56203,0.185461,1651.72,144.738,74.5629
302,0,-0.0438798,-3.45671,0.112208,1668.22,138.863,74.4696
303,0,-0.046862,-3.3456,0.0455253,1684.65,133.853,74.2811
304,0,0.0680005,0.0671029,-0.0675735,1701.23,129.241,77.9834
305,0,0.11115,0.20167,-0.0775665,1718.21,125.138,79.0331
306
307,0,0.15486,0.613284,-0.0801138,1753.01,118.807,79.6637
308,0,0.163505,0.690029,-0.0897343,1770.25,116.779,79.52
309,0,0.155356,0.799422,-0.0975825,1786.54,115.647,78.9265
310,0,-0.0491837,-2.07447,-0.178747,1804.09,114.538,79.2075
311,0,-0.0701414,-1.99949,-0.15547,1820.1,115.164,77.6577
312
313,0,-0.114826,-1.57596,-0.125048,1853.86,117.436,74.8039
314,0,-0.143906,-1.41988,-0.0999193,1870.11,119.58,73.0881
315
316,0,-0.184171,-1.08952,-0.0714108,1902.49,121.576,71.2635
317,0,-0.189327,-0.979865,-0.0509271,1916.78,122.303,71.4784
318
319,0,-0.203467,-0.635397,-0.0419967,1947.42,120.032,71.1043
320,0,-0.20359,-0.559856,-0.0369375,1962.71,118.417,69.9928
321,0,-0.199314,-0.471565,-0.0245523,1977.06,116.809,69.0212
322,0,-0.156999,-0.186657,-0.0282755,1989.82,115.825,72.4355
323,0,-0.136958,-0.0492677,-0.0145951,2003.89,112.569,73.0494
324,0,-0.117277,0.0148043,0.00122549,2018.36,109.33,72.3024
325,0,-0.0639732,0.284778,0.00295761,2033.66,105.909,76.6208
326,0,-0.0326157,0.374585,0.0280413,2046.94,101.46,76.8691
327,0,0.00889347,0.470097,0.0497272,2061.23,96.847,77.9356
328,0,0.0610576,0.72725,0.0639326,2078.09,91.7632,81.7036
329,0,0.102158,0.788846,0.0793767,2093.22,87.7885,83.6652
330,0,0.138961,0.877019,0.0863921,2109.56,84.3369,85.4046
331,0,0.19769,-1.96591,-0.15741,2124.99,82.1491,86.0656
332,0,0.199904,-1.86702,-0.173146,2140.05,80.2844,86.0347
333,0,0.196224,-1.84867,-0.18782,2155.27,80.1277,85.9245
334,0,0.186056,-1.5114,-0.197066,2174.52,78.7071,86.1651
335,0,0.156799,-1.45909,-0.211509,2192.17,78.3491,85.0755
336,0,0.081866,-1.46307,-0.229261,2212.22,76.6318,83.9735
337,0,0.116838,-1.05483,-0.206396,2225.78,79.3154,84.1777
338
339
340,0,0.0238895,-0.574904,-0.203812,2278.92,84.8057,78.9322
341,0,-0.0343972,-0.511888,-0.202862,2297.38,86.4656,75.7591
342,0,-0.128828,-0.504147,-0.233131,2320,83.0128,72.4052
343,0,-0.180217,-0.468356,-0.249444,2340.35,81.4618,71.0385
344
345
346
347
348
349
350
351
352,0,-0.04582,1.41149,-0.0112147,2471.88,69.4162,72.3773
353
354
355,0,0.0293399,1.9548,0.136655,2518.21,55.9519,83.0909
356,0,0.0456189,1.99279,0.150816,2534.17,54.5982,83.4538
357,0,0.0448643,1.97908,0.166926,2548.49,54.0132,83.5863
358
359
360
361,0,0.0899982,-0.235481,-0.0108755,2610.58,61.9531,78.0487
362,0,0.0371618,-0.188988,-0.0188569,2626.68,66.8359,75.3107
363
364
365
366
367,0,0.0400609,-2.45433,0.198034,2702.87,81.5547,72.0413
368,0,0.0556352,-2.37249,0.212333,2716.74,82.3525,71.5751
369,0,0.0839844,-2.30062,0.255475,2729.55,80.6874,68.4627

